Category,CO2,CH4,N2O,Country,Year,CO2eq.kt,EM.Source
non-dairy cattle,0,72.1442747706481,0,AUT,2021,1803.6068692662,enteric fermentation
manure management,0,22.2408633514874,1.77903554962594,AUT,2021,1086.17417757571,total
cattle subtotal,0,18.1463453668561,1.05604867223143,AUT,2021,768.361138496368,manure management
dairy cattle,0,9.02435436153144,0.41921769340795,AUT,2021,350.535731673855,manure management
non-dairy cattle,0,9.12199100532462,0.63683097882348,AUT,2021,417.825406822513,manure management
indirect n2o emissions,0,0,0.41771560309724,AUT,2021,124.479249722978,manure management
total livestock,0,239.385690408058,3.05698576887601,BEL,1990,6895.62401932649,total
enteric fermentation,0,190.238069427929,0,BEL,1990,4755.95173569822,total
cattle subtotal,0,178.238700427929,0,BEL,1990,4455.96751069822,enteric fermentation
dairy cattle,0,73.8761296462497,0,BEL,1990,1846.90324115624,enteric fermentation
non-dairy cattle,0,104.362570781679,0,BEL,1990,2609.06426954198,enteric fermentation
manure management,0,49.1476209801288,3.05698576887601,BEL,1990,2139.67228362827,total
cattle subtotal,0,16.7231624969111,2.08456254405026,BEL,1990,1039.27870054975,manure management
dairy cattle,0,9.316817342159,0.70848507495354,BEL,1990,444.04898589013,manure management
non-dairy cattle,0,7.40634515475207,1.37607746909672,BEL,1990,595.229714659624,manure management
indirect n2o emissions,0,0,0.65035921829396,BEL,1990,193.8070470516,manure management
total livestock,0,237.276421810044,3.03330536517551,BEL,1991,6835.8355440734,total
enteric fermentation,0,189.579471755959,0,BEL,1991,4739.48679389896,total
cattle subtotal,0,177.945278755959,0,BEL,1991,4448.63196889896,enteric fermentation
